ID,Slug,Title,Purpose,Users,Layout,Primary Actions
01,login,Login / Access Gate,Secure entry into the platform with strong identity and trust cues.,All users,Centered auth card over cinematic dark intelligence background.,Sign in | Use SSO | Reset password
02,dashboard,Dashboard,"High-level operational awareness for investigations, alerts, and source activity.","Analysts, leads, admins","Left nav, top utility bar, central overview grid.",Open investigation | Review alert | Generate report
03,investigations-list,Investigations List,Case-style management view for active and archived investigations.,"Analysts, leads",Filter rail + dense table/list + status summary row.,Create investigation | Open case | Archive case
04,investigation-detail,Investigation Detail,"Single case workspace for evidence, notes, linked entities, and outputs.","Analysts, leads",Summary header + tab system + right action rail.,Add note | Link entity | Open graph | Generate report
05,graph-explorer,Graph Explorer,Primary intelligence correlation environment and emotional center of the product.,Analysts,"Left filters, central graph canvas, right inspector, sticky top controls.",Expand node | Inspect relationship | Save view | Pin insight
06,entity-profile,Entity Profile,"Structured intelligence object page for people, organizations, locations, and assets.",Analysts,Profile header + modular sections + contextual right rail.,Add alias | Open graph | Attach source | Add note
07,source-directory,Source Directory,"Visibility into available sources, quality, freshness, and ingest state.","Analysts, admins",Filter rail + source cards/table + health indicators.,Open source | Filter by type | Review freshness
08,source-detail,Source Detail,"Detailed view into source metadata, freshness, related entities, and usage.","Analysts, admins",Source summary header + metrics + related content sections.,Open linked entity | View excerpts | Flag source issue
09,timeline-view,Timeline View,"Temporal analysis surface for events, correlation, and sequence review.",Analysts,Filter bar + interactive timeline + details panel.,Filter range | Inspect event | Insert in report
10,reports-list,Reports List,Management surface for all generated and draft reports.,"Analysts, leads",Summary row + report table + status chips.,Create report | Open draft | Export PDF
11,report-builder,Report Builder,Analyst-grade composition surface for polished intelligence output.,"Analysts, leads","Left outline, center editor, right assets/properties rail.",Insert chart | Add appendix | Preview export | Publish
12,alerts-queue,Alerts Queue,Triage and escalation surface for new and ongoing alert events.,"Analysts, leads",Priority summary strip + alert list + inspector.,Review alert | Escalate | Dismiss | Convert to investigation
13,analytics,Analytics,"Operational analytics for throughput, source utility, and reporting trends.","Leads, admins",Metric strip + chart grid + performance tables.,Filter date range | Export metrics | Open source breakdown
14,settings,Settings / Administration,"Workspace, users, connectors, theme, audit, and governance controls.",Admins,Left settings nav + central form and table modules.,Invite user | Configure connector | Review audit log
